
LAYER,P,R,F
0,0.55298364,0.55374473,0.5492992
1,0.6218519,0.62254506,0.61974186
2,0.65908706,0.6596765,0.6575415
3,0.66263646,0.6632432,0.661196
4,0.6888388,0.6893832,0.6877765
5,0.7106749,0.7111917,0.7099102
6,0.72256994,0.7230627,0.7219334
7,0.6973086,0.69789,0.6965428
8,0.69598645,0.6965173,0.69525135
9,0.7307872,0.73124623,0.7302935
10,0.7692892,0.76968575,0.7689572
11,0.8136669,0.81402504,0.8134968
12,0.7920161,0.7924339,0.7917425
